tick;position;velocity;acceleration;cubic_p;cubic_v; cubic_a;dpos;dvel
188;14,8;4;0;14,8;4;0;;
189;14,9;4;0;14,9;4;0;;
190;15;4;0;15;4;0;;
191;15,1;4;0;15,1;4;0;;
192;15,2;4;0;15,2;4;0;;
193;15,3;4;0;15,3;4;0;;
194;15,4;4;0;15,4;4;0;;
195;15,5;4;0;15,5;4;0;;
196;15,6;4;0;15,6;4;0;;
197;15,7;4;0;15,7;4;0;;
198;15,8;4;0;15,8;4;0;;
199;15,9;4;0;15,9;4;0;;
200;16;4;0;16;4;0;16;4
201;16,1;4;0;16,1;4;0;;
202;16,2;4;0;16,2;4;0;;
203;16,3;4;0;16,3;4;0;;
204;16,4;4;0;16,4;4;0;;
205;16,5;4;0;16,5;4;0;;
206;16,6;4;0;16,6;4;0;;
207;16,7;4;0;16,7;4;0;;
208;16,8;4;0;16,8;4;0;;
209;16,9;4;0;16,9;4;0;;
210;17;4;0;17;4;0;;
211;17,1;4;0;17,1;4;0;;
212;17,2;4;0;17,2;4;0;;
213;17,3;4;0;17,3;4;0;;
214;17,4;4;0;17,4;4;0;;
215;17,5;4;0;17,5;4;0;;
216;17,6;4;0;17,6;4;0;;
217;17,7;4;0;17,7;4;0;;
218;17,8;4;0;17,8;4;0;;
219;17,9;4;0;17,9;4;0;;
220;18;4;0;18;4;0;;
221;18,1;4;0;18,1;4;0;;
222;18,2;4;0;18,2;4;0;;
223;18,3;4;0;18,3;4;0;;
224;18,4;4;0;18,4;4;0;;
225;18,5;4;0;18,5;4;0;;
226;18,6;4;0;18,6;4;0;;
227;18,7;4;0;18,7;4;0;;
228;18,8;4;0;18,8;4;0;;
229;18,9;4;0;18,9;4;0;;
230;19;4;0;19;4;0;;
231;19,1;4;0;19,1;4;0;;
232;19,2;4;0;19,2;4;0;;
233;19,3;4;0;19,3;4;0;;
234;19,4;4;0;19,4;4;0;;
235;19,5;4;0;19,5;4;0;;
236;19,6;4;0;19,6;4;0;;
237;19,7;4;0;19,7;4;0;;
238;19,8;4;0;19,8;4;0;;
239;19,9;4;0;19,9;4;0;;
240;20;4;0;20;4;0;20;4
241;20,1;4;0;20,1;4;0;;
242;20,2;4;0;20,2;4;0;;
243;20,3;4;0;20,3;4;0;;
244;20,4;4;0;20,4;4;0;;
245;20,5;4;0;20,5;4;0;;
246;20,6;4;0;20,6;4;0;;
247;20,7;4;0;20,7;4;0;;
248;20,8;4;0;20,8;4;0;;
249;20,9;4;0;20,9;4;0;;
250;21;4;0;21;4;0;;
251;21,1;4;0;21,1;4;0;;
252;21,2;4;0;21,2;4;0;;
253;21,3;4;0;21,3;4;0;;
254;21,4;4;0;21,4;4;0;;
255;21,5;4;0;21,5;4;0;;
256;21,6;4;0;21,6;4;0;;
257;21,7;4;0;21,7;4;0;;
258;21,8;4;0;21,8;4;0;;
259;21,9;4;0;21,9;4;0;;
260;22;4;0;22;4;0;;
261;22,1;4;0;22,1;4;0;;
262;22,2;4;0;22,2;4;0;;
263;22,3;4;0;22,3;4;0;;
264;22,4;4;0;22,4;4;0;;
265;22,5;4;0;22,5;4;0;;
266;22,6;4;0;22,6;4;0;;
267;22,7;4;0;22,7;4;0;;
268;22,8;4;0;22,8;4;0;;
269;22,9;4;0;22,9;4;0;;
270;23;4;0;23;4;0;;
271;23,1;4;0;23,1;4;0;;
272;23,2;4;0;23,2;4;0;;
273;23,3;4;0;23,3;4;0;;
274;23,4;4;0;23,4;4;0;;
275;23,5;4;0;23,5;4;0;;
276;23,6;4;0;23,6;4;0;;
277;23,7;4;0;23,7;4;0;;
278;23,8;4;0;23,8;4;0;;
279;23,9;4;0;23,9;4;0;;
280;24;4;0;24;4;0;24;4
281;24,1;4;0;24,1;4;0;;
282;24,2;4;0;24,2;4;0;;
283;24,3;4;0;24,3;4;0;;
284;24,4;4;0;24,4;4;0;;
285;24,5;4;0;24,5;4;0;;
286;24,6;4;0;24,6;4;0;;
287;24,7;4;0;24,7;4;0;;
288;24,8;4;0;24,8;4;0;;
289;24,9;4;0;24,9;4;0;;
290;25;4;0;25;4;0;;
291;25,1;4;0;25,1;4;0;;
292;25,2;4;0;25,2;4;0;;
293;25,3;4;0;25,3;4;0;;
294;25,4;4;0;25,4;4;0;;
295;25,5;4;0;25,5;4;0;;
296;25,6;4;0;25,6;4;0;;
297;25,7;4;0;25,7;4;0;;
298;25,8;4;0;25,8;4;0;;
299;25,9;4;0;25,9;4;0;;
300;26;4;0;26;4;0;;
301;26,1;4;0;26,1;4;0;;
302;26,2;4;0;26,2;4;0;;
303;26,3;4;0;26,3;4;0;;
304;26,4;4;0;26,4;4;0;;
305;26,5;4;0;26,5;4;0;;
306;26,6;4;0;26,6;4;0;;
307;26,7;4;0;26,7;4;0;;
308;26,8;4;0;26,8;4;0;;
309;26,9;4;0;26,9;4;0;;
310;27;4;0;27;4;0;;
311;27,1;4;0;27,1;4;0;;
312;27,2;4;0;27,2;4;0;;
313;27,3;4;0;27,3;4;0;;
314;27,4;4;0;27,4;4;0;;
315;27,5;4;0;27,5;4;0;;
316;27,6;4;0;27,6;4;0;;
317;27,7;4;0;27,7;4;0;;
318;27,8;4;0;27,8;4;0;;
319;27,9;4;0;27,9;4;0;;
320;28;4;0;28;4;-2;28;4
321;28,099375;3,95;-2;28,099375;3,95;-2;;
322;28,1975;3,9;-2;28,1975;3,9;-2;;
323;28,294375;3,85;-2;28,294375;3,85;-2;;
324;28,39;3,8;-2;28,39;3,8;-2;;
325;28,484375;3,75;-2;28,484375;3,75;-2;;
326;28,5775;3,7;-2;28,5775;3,7;-2;;
327;28,669375;3,65;-2;28,669375;3,65;-2;;
328;28,76;3,6;-2;28,76;3,6;-2;;
329;28,849375;3,55;-2;28,849375;3,55;-2;;
330;28,9375;3,5;-2;28,9375;3,5;-2;;
331;29,024375;3,45;-2;29,024375;3,45;-2;;
332;29,11;3,4;-2;29,11;3,4;-2;;
333;29,194375;3,35;-2;29,194375;3,35;-2;;
334;29,2775;3,3;-2;29,2775;3,3;-2;;
335;29,359375;3,25;-2;29,359375;3,25;-2;;
336;29,44;3,2;-2;29,44;3,2;-2;;
337;29,519375;3,15;-2;29,519375;3,15;-2;;
